sample_id,iteration,seed,Percentage of burned trees
0,0,2972403638744771845849201247903966177,0.0055055055055055055
0,1,260035323367729081897611034470363385736,0.0065065065065065065
0,2,24401406206129783846552905332177277910,0.0035035035035035035
0,3,203775841931790229611200540539347927141,0.004004004004004004
0,4,298106329338114242673927731786462731558,0.003003003003003003
1,0,126400971127367865185964540940891205124,0.0032771535580524347
1,1,221400022811391584381981744418927071687,0.0056179775280898875
1,2,68121411339495216261813577122783825202,0.004213483146067416
1,3,139461932300264739530751120533941328557,0.0023408239700374533
1,4,286870378646231863830244945512166775904,0.0028089887640449437
2,0,20731834665226409689827806767697665444,0.0030782761653474055
2,1,93563045409294773268544003795496305685,0.0021987686895338612
2,2,37571741434328061076651388897624425603,0.003518029903254178
2,3,8475240418970191944821166916934655668,0.005716798592788039
2,4,211764438622249287822413175075583737567,0.0043975373790677225
3,0,110285543040617187334176647860750639405,0.00912106135986733
3,1,260539612860079158245331557070385234167,0.007462686567164179
3,2,213060821684696629402688326369334413350,0.00538971807628524
3,3,293158679762912194820996899788553118896,0.002902155887230514
3,4,261446782413493084595066581822150038000,0.002902155887230514
4,0,92993360050030873004285257997381339138,0.007450980392156863
4,1,180243832844257270100328311414258042509,0.001568627450980392
4,2,135062865572909032929194011714469962666,0.016862745098039214
4,3,318091768887183350544959827120310182288,0.0027450980392156863
4,4,314116781030773856751150586175832889549,0.001568627450980392
5,0,291523764933227173516179519612399016251,0.006696428571428571
5,1,28844133559500361683485969576429433118,0.003720238095238095
5,2,31268257777795362782577752895868677810,0.004836309523809524
5,3,99295822278662993123852706191671322725,0.011904761904761904
5,4,173709114875067046197168803463463034081,0.005208333333333333
6,0,46504431070543048368906093789359776220,0.0046001415428167025
6,1,100507471039036616165074758259487596194,0.005661712668082095
6,2,228494545020000531010268145402310683258,0.007077140835102618
6,3,163161943933211032478657927793855181021,0.014154281670205236
6,4,39871412577126508711847804719029265393,0.007077140835102618
7,0,206355943863271195392533315082699990938,0.0043859649122807015
7,1,164459142541170214406695798415107655216,0.016194331983805668
7,2,48373698371024778897790513905089828601,0.011470985155195682
7,3,129377407527471728300834184578625232538,0.006072874493927126
7,4,77243196366803561285831138643280105626,0.009446693657219974
8,0,266380332127745766709941435590614076820,0.0012894906511927789
8,1,87049993261757229326818546938395479651,0.007736943907156673
8,2,148920047205699086527000853397871087752,0.005802707930367505
8,3,212521907638724014656442053219868287199,0.0070921985815602835
8,4,65366885164681358766757681194792456279,0.004513217279174726
9,0,173847709708193176891575924333039012674,0.007716049382716049
9,1,85219426389737381225203054873210915513,0.009259259259259259
9,2,301357002254478105747049329423600094879,0.014506172839506172
9,3,70546113258563366751940586354727034512,0.017901234567901235
9,4,255815165474127380385312645933040111462,0.005555555555555556
10,0,241322119654288018029190802436437178402,0.003552397868561279
10,1,216053411874072504316765736327498509985,0.002368265245707519
10,2,48236839363190064681170766682777341418,0.009177027827116636
10,3,291563252247522512166547471005779318674,0.004736530491415038
10,4,205023403011732012432897028334295906200,0.005920663114268798
11,0,237575000999173941682607767255943329914,0.009954493742889647
11,1,301014741938241804803853076721366846646,0.004835039817974972
11,2,272129241665418664400171599620698248572,0.015358361774744027
11,3,164853155622281945203981379609226410805,0.008248009101251423
11,4,62389612804921972383619101846786054831,0.01877133105802048
12,0,153214013352721857534743422416418312584,0.007936507936507936
12,1,58780363303422718116766772897810021766,0.0019157088122605363
12,2,315390971779309430600957375971402452636,0.015873015873015872
12,3,98534692019006077195745766560945422892,0.014230979748221127
12,4,141130080622640344412959249586327563980,0.0090311986863711
13,0,127073963070420250303284234787043354681,0.021624472573839662
13,1,249047423381093543011746576755897577052,0.015031645569620253
13,2,98035222017413298103125539995728268385,0.032964135021097046
13,3,287722928535045848244698153918438841773,0.017668776371308016
13,4,49549640055960992142081205517597408388,0.011867088607594937
14,0,52982665008276900329309404870057198561,0.015776081424936386
14,1,180464730526731301420576356719632893594,0.022391857506361322
14,2,68365992097282709947624890976835332479,0.0272264631043257
14,3,278673523983386600269935273965519927456,0.01094147582697201
14,4,93753051268018554258309232939127746398,0.017557251908396947
15,0,129444775761529256781641060304969166533,0.019419862340216323
15,1,143232217639635113573384524473575742563,0.018436578171091445
15,2,293876565944071624261825741276484741257,0.02384464110127827
15,3,147204441337328956123012776976063419476,0.02261553588987217
15,4,55082277336223145745574121279264497642,0.00983284169124877
16,0,326687758584373375242925885764884114667,0.004992867332382311
16,1,87266584311449062269132823125866482715,0.043747028055159294
16,2,336337032677434165545587700117628330574,0.009272467902995721
16,3,80425835741889745391327404192124622718,0.00879695672848312
16,4,280390349016784985632956948457374157664,0.011887779362815026
17,0,266108476913988967514887361237887986617,0.025552486187845305
17,1,304354031414414328851416573067471930166,0.0027624309392265192
17,2,157635469202644712033499258179413583980,0.0016114180478821363
17,3,7634198976705866303441181931125765400,0.02117863720073665
17,4,329718802909385713488376726692404221027,0.007136279926335175
18,0,240974409237315559918304962492931135512,0.02744310575635877
18,1,198156016343159428542019030411049074305,0.028112449799196786
18,2,331685082566300591933953766816740369518,0.03190539937527889
18,3,55395557695374926467584630843050135283,0.04127621597501115
18,4,253549478057548661917817803786695311404,0.04350736278447122
19,0,308608793714249790884242204890643283615,0.00909090909090909
19,1,284393650260858510909246317281289262676,0.04134199134199134
19,2,210936928200986149723706810343449091223,0.07683982683982683
19,3,232249883845021618294987498808463697360,0.08874458874458875
19,4,180725805551319495351505641236432700121,0.015584415584415584
20,0,248853377969456226375206047391126260384,0.01282051282051282
20,1,102801912842963653759074474004068730968,0.011769651113913409
20,2,294900086426016978935454846222824856977,0.08869272803699033
20,3,16759828694488010913899223329682138822,0.07608238755779739
20,4,37791607150069027708226115850566202040,0.03762084909625893
21,0,73488171622752006507306808050751377010,0.06209150326797386
21,1,250723511594769328322241623491799777957,0.27062908496732024
21,2,331844779762559367417399902568857085675,0.2028186274509804
21,3,233016765663575459555865221297989863128,0.11785130718954248
21,4,302456452983116879850375952522122191019,0.0959967320261438
22,0,94659755419193034910746766211115091669,0.2254668255860151
22,1,315158205173405603218115455994619469036,0.012117600317838697
22,2,207110425925680328066454194230388286922,0.1364719904648391
22,3,201038034600388495202242485685821410946,0.12753277711561384
22,4,79598730773259551291513081162442012218,0.2987683750496623
23,0,61960257795623021439158647743502613097,0.19276875483372002
23,1,162979940351068217285280185242403296969,0.3294663573085847
23,2,106671508927784983272209517030320600308,0.18194122196442383
23,3,162629228095647933707238294543161063539,0.4791183294663573
23,4,6366928216302104150046045447922305143,0.41067285382830626
24,0,281453341395415295215266653751160423766,0.37250470809792846
24,1,190567400747547442859089223871953719134,0.3120527306967985
24,2,48835519574105260770463798028617530633,0.4834274952919021
24,3,13716325256148057051054590691783617697,0.35894538606403015
24,4,316519314565567071838026472710741965718,0.6231638418079096
25,0,195740997238635259644435800574043084602,0.6497797356828194
25,1,41626923333047302375064230696343589046,0.7193465491923642
25,2,189112319163778813228316728044118708131,0.48109397944199705
25,3,33152016583509783594817807037531550006,0.6172907488986784
25,4,327257182504540401309609880911163714492,0.4577826725403818
26,0,215837098660865034132071473935836545719,0.5214822771213748
26,1,320540245363537949304083485871426832982,0.012352309344790547
26,2,103482477661849044080629914194233265437,0.7531328320802005
26,3,46914830039566585181534258189545542175,0.7046186895810956
26,4,37881850035285392576242364807918978120,0.8139992839240959
27,0,252887309503603097358215793582767285779,0.5814116002795248
27,1,271782776059522644443929241972869648475,0.8556953179594688
27,2,305548888071381192167947652639514790407,0.8574423480083857
27,3,270400052820782026409070648915386528672,0.7697414395527603
27,4,74573053785186571739545732539714849160,0.8466107617051013
28,0,73875843614570148066593912007688442177,0.8522688502217673
28,1,29392049107807552098291394610351844395,0.8538041624019106
28,2,209105549651931023886575282955020725213,0.9126577959740703
28,3,113806530996872305333014100938352260332,0.8995223473217332
28,4,298207675195391008397489347458622144302,0.8172978505629478
29,0,308427473476677047075427166502067053076,0.9053333333333333
29,1,238331855323607421047297047212592338569,0.8665
29,2,150274164364450118602070732127897264398,0.8771666666666667
29,3,308565156649611148710933893236744591580,0.8668333333333333
29,4,90463889938554433105527735047758096918,0.9338333333333333
