sample_id,seed,Percentage of burned trees
0,191631393152448404427416437770581982745,0.007007007007007007
1,141458376920983717503347869469284151098,0.0028089887640449437
2,94841125216388185098099425727508949586,0.004837291116974494
3,327205897570866312162033394393452070607,0.004975124378109453
4,276779261973300058099103681553859720946,0.004705882352941176
5,79562925478137710452026619755935641186,0.005208333333333333
6,139047355325157533407813002985462437180,0.0014154281670205238
7,175407890704067705416043926173669084790,0.0023616734143049934
8,178561380971395329841504837122435507149,0.0061250805931656995
9,11313453664997417186421577323431507888,0.003703703703703704
10,153576846541364822627212142183643220601,0.003256364712847839
11,55723449206654936951969037614623502052,0.00739476678043231
12,196588417414004501070427535493273840714,0.008483853311439518
13,63432022372276092862533886431916010928,0.003691983122362869
14,232640979882432376235222445152080263970,0.004580152671755725
15,270386152238147063322068338652326267741,0.01352015732546706
16,147309016071591782302401179725264396469,0.0456490727532097
17,247244052737219476638356763819913777927,0.0393646408839779
18,260018838697152272927029112566160878043,0.008032128514056224
19,333793855068312882637753201583771034287,0.01471861471861472
20,67863266658992452228155044839451992113,0.009878100042034469
21,181334598351849231810290192443872450547,0.0959967320261438
22,55040572119685478911670587529444762114,0.09694080254270958
23,140345301733836592794130911582870985207,0.5247486465583914
24,252977111280004522679769946033540221325,0.025047080979284368
25,50971487684803989434699309139823592702,0.6716226138032305
26,289119398603760603979025212566859162222,0.7101682778374507
27,20936189128785362051202777964960496396,0.8153389238294899
28,208922848162519391860936577484148550499,0.8604571818491982
29,333579533347530799218801269259852204341,0.8788333333333334
