sample_id,iteration,seed,Percentage of burned trees
0,0,149133615832345614404157391969845916178,0.012012012012012012
0,1,214877986605107334693985237341881213046,0.008008008008008008
0,2,44259771337976556455525984123226501542,0.0025025025025025025
0,3,177950291749773159576720429564754664762,0.0045045045045045045
0,4,164969482154698908622003515471100935602,0.003003003003003003
1,0,288332756497884151665798944139837923635,0.0018726591760299626
1,1,144497803259271157160193840678671040989,0.005149812734082397
1,2,190876326584764754461289786847389422664,0.004213483146067416
1,3,317678819115826918750180448925626780852,0.009831460674157303
1,4,316370723597066843392580517260187684364,0.012172284644194757
2,0,150322077377970037138802821692132834204,0.001759014951627089
2,1,299870637195564982438836477077846591603,0.0043975373790677225
2,2,150330299323184246103742514314551246260,0.007036059806508356
2,3,87239108308866205581494823565126498489,0.007475813544415127
2,4,26684153950567669183255550781071548953,0.005277044854881266
3,0,46130845758974798088544644865573381578,0.005804311774461028
3,1,150838320695812552878735318985576094577,0.010364842454394693
3,2,43963049266832222409572572728352211302,0.00538971807628524
3,3,100300993056195863867941294326605515235,0.008706467661691543
3,4,167914701090931095720476485690532097483,0.0037313432835820895
4,0,72503268841397719014449350161640094144,0.007450980392156863
4,1,305004154933989113384623657931395487572,0.004705882352941176
4,2,276394627873090570248242806671301964894,0.003137254901960784
4,3,102167765813249146501406547498659845215,0.002352941176470588
4,4,4719905077422297150682031487006459371,0.004313725490196078
5,0,171827570557940221888887829729708862873,0.007068452380952381
5,1,171489889098486693047695416150029284103,0.009300595238095238
5,2,287723810207160536064849157626454947915,0.005208333333333333
5,3,110338627379792773041871760481298557175,0.004092261904761905
5,4,32640195980656594914988173797546547358,0.007068452380952381
6,0,257147541818830592857193367591476287378,0.009554140127388535
6,1,13397514965560379036285206336189540163,0.005661712668082095
6,2,51181585766491382625662310688335539388,0.0028308563340410475
6,3,149292052946241902932106358596698770864,0.0028308563340410475
6,4,69265236490195374815502797914927113458,0.006723283793347488
7,0,187100927314163865449652957829948651945,0.005735492577597841
7,1,216580144227474438103116162474730971377,0.0023616734143049934
7,2,131745120238333172113788857179141789552,0.00708502024291498
7,3,149150118296525129630557830155937704108,0.014507422402159244
7,4,281862643666523356476923490482016440730,0.005735492577597841
8,0,306697567535442052783233803199376775241,0.007736943907156673
8,1,227089772706054698289798012298308350304,0.0025789813023855577
8,2,90447483325399193041111350231559946357,0.0038684719535783366
8,3,129656282308828248780852536438114958181,0.027079303675048357
8,4,166742948285945769486500298396336658515,0.007414571244358479
9,0,170796199912508160823456751761498606199,0.01728395061728395
9,1,50827292364529697771912441047874808642,0.006172839506172839
9,2,10646445043199805457076804560338074721,0.019753086419753086
9,3,3947995370785429982934390011114123027,0.012345679012345678
9,4,313977944535653914201065946738095558489,0.0070987654320987656
10,0,112834480951841102857342598961553347659,0.010361160449970397
10,1,228665495616444919779363907600851816124,0.017761989342806393
10,2,75388815128013158416952822635493577982,0.006216696269982238
10,3,103217906789270627915834791481005153807,0.007400828892835998
10,4,302104341990956776097362330471541599373,0.0026642984014209592
11,0,73152079532264938445276331756609834511,0.011376564277588168
11,1,326879830073108879275632089875943939944,0.009101251422070534
11,2,330170756813157741193578388329610053732,0.00739476678043231
