sample_id,iteration,seed,Percentage of burned trees
0,0,169000621981427392450787980255448211778,0.003003003003003003
0,1,292261882274952314294773784092438268430,0.004004004004004004
0,2,118164406682875903668599568604082878218,0.004004004004004004
0,3,58876283129298192112638523065146488842,0.002002002002002002
0,4,248437638525251328474962234810354390066,0.0035035035035035035
0,5,120745338927170434552838748381209401930,0.007007007007007007
0,6,308015909423710795003119970958924102800,0.011011011011011011
0,7,292563083125422340812217500321641434087,0.0025025025025025025
0,8,329953364819452476536640001056253508551,0.009009009009009009
0,9,232098437315819051324486689437432744659,0.0035035035035035035
1,0,339003169224519924732861050236678099923,0.0046816479400749065
1,1,110302473177502857192465290969011544729,0.003745318352059925
1,2,124223208271739379983221958357757928510,0.0028089887640449437
1,3,138950069008101816589861459969970788470,0.0046816479400749065
1,4,229214681851493963287197109614186121867,0.003745318352059925
1,5,142414072926333150966364627265171654347,0.0014044943820224719
1,6,179179086339273506375945655257391458440,0.00749063670411985
1,7,97730835117782439257897759030502814005,0.005149812734082397
1,8,21950452313699579989193296600704740714,0.0023408239700374533
1,9,280748995181188879482596047014158065707,0.0032771535580524347
2,0,217949076231026325968712545997810992307,0.007036059806508356
2,1,1040898534703512631318361196558135839,0.002638522427440633
2,2,235264328789402972215174556043223537352,0.006596306068601583
2,3,281689487168045101192454927901927503421,0.0030782761653474055
2,4,20195209206080524062145809053489194568,0.005716798592788039
2,5,154660340216857882724082118442910896757,0.0079155672823219
2,6,133941446802751268469118868888292641318,0.005716798592788039
2,7,42063813234246831190668365398476805761,0.0021987686895338612
2,8,265537044597573635346337816910479161161,0.011873350923482849
2,9,247682837617018199538433596060030153347,0.005277044854881266
3,0,76166667347616310132258570058001841474,0.004975124378109453
3,1,38811295916513049711182772848014835589,0.007048092868988391
3,2,198068799010936980965660632185422912160,0.0037313432835820895
3,3,223042259508179963913456623247867865492,0.0037313432835820895
3,4,235039269667815031714257170928560745635,0.0041459369817578775
3,5,141603842563757373535775344365057940273,0.00538971807628524
3,6,222384873645843086074946032459570538446,0.006633499170812604
3,7,157222268511134675568990073954503388968,0.010364842454394693
3,8,275110510994592125215850902516835323094,0.0037313432835820895
3,9,310374353452299310575335998230045303394,0.007048092868988391
4,0,224527318627558240335329393406177262535,0.010980392156862745
4,1,152755195714277964220701404706856807568,0.010588235294117647
4,2,135294517100894936334836671095636233766,0.008627450980392156
4,3,186990846413799203046492178487893398267,0.009019607843137255
4,4,47660491965372290071499112048534133451,0.004313725490196078
4,5,314071355458488204671101725528440379458,0.003137254901960784
4,6,310370873284959186721185714203322182437,0.0058823529411764705
4,7,27213237169390772105553661898817654384,0.00392156862745098
4,8,74652499109471004449123233930563221009,0.013333333333333334
4,9,222777561844891552337142309089400723397,0.006666666666666667
5,0,245470170545788168984977136183196037398,0.010788690476190476
5,1,53050997090306573441170997035578743669,0.005580357142857143
5,2,93583885826729797853441289182500247794,0.007068452380952381
5,3,105093682220909494483350784171699760737,0.005580357142857143
5,4,320182680274582594358712854525026909325,0.010416666666666666
5,5,92386258478825618548004202398667477653,0.00744047619047619
5,6,150055819898481657500777940702820270842,0.0033482142857142855
5,7,90749391559878724665972814550885166000,0.0033482142857142855
5,8,63171778260794903814039536404607922562,0.005208333333333333
5,9,272197321876058630816418510423593751910,0.002976190476190476
6,0,24511165837714169185238338111428151074,0.006369426751592357
6,1,39127490386360931439825185073007907516,0.012031139419674451
6,2,281306632062737233248804520316783446714,0.004953998584571833
6,3,123339754930769900959241380300283403102,0.0028308563340410475
6,4,69475408938068282696094964612650522068,0.006723283793347488
6,5,99924121613193028980448592762419022008,0.012738853503184714
6,6,49420463236141019985911083247801340454,0.00813871196036801
6,7,291096466052934255671394152078818455991,0.016985138004246284
6,8,114420822640209323195248911227452535266,0.01167728237791932
6,9,197572445030267403804261590138687279274,0.006015569709837226
7,0,75861815354504161495804037772047501327,0.008097165991902834
7,1,276536038780655117796042307238576866433,0.005398110661268556
7,2,191675532338223591056659670634995214888,0.003036437246963563
7,3,290574977155852422194007616508963493270,0.012145748987854251
7,4,65195607502532554512798888382672247504,0.003711201079622132
7,5,269521859767219323899308397619580187229,0.006747638326585695
7,6,317449073821904978777247857361181715848,0.003036437246963563
7,7,192546725456047725951309260548617424604,0.0023616734143049934
7,8,97358323601818486014914458631714898866,0.005060728744939271
7,9,96648744210618830424555603713150644628,0.008771929824561403
