sample_id,iteration,seed,Percentage of burned trees
0,0,209497506801593631798079132548392650902,0.0065065065065065065
0,1,233043727330944655822958950084328043949,0.003003003003003003
0,2,243802130752361624083570619752017357587,0.004004004004004004
0,3,205533974503356814539916193793678867408,0.004004004004004004
0,4,129148546726574708677161249215221665690,0.014514514514514515
0,5,139603671056990534640764480767467870613,0.0075075075075075074
0,6,71411862055284432801110840302578318466,0.008008008008008008
0,7,128433118321140799242282969840752477310,0.012012012012012012
0,8,130977878425734586849399266073025450711,0.0035035035035035035
0,9,306827880406171713511894877986724265504,0.0055055055055055055
1,0,47682769741822398258308402032313417429,0.0018726591760299626
1,1,282345206149679407271728989169916647995,0.003745318352059925
1,2,202170765242106652764618324701009087302,0.004213483146067416
1,3,210368417676192316918261924499231063547,0.0056179775280898875
1,4,212206047162607859542949549823056635777,0.005149812734082397
1,5,34782598698661504458985234118705784593,0.005149812734082397
1,6,293761180377746527461104461289331995463,0.0018726591760299626
1,7,193686256422062856299035817606089514691,0.01638576779026217
1,8,116397283898418633607780718701210359957,0.015917602996254682
1,9,152025074709942231918451945871680317612,0.0014044943820224719
2,0,63442000790077557580628334453602273251,0.0079155672823219
2,1,171134432086728299056174027516105879025,0.0043975373790677225
2,2,124737616236461978406523952005582689609,0.001759014951627089
2,3,82578384611873401196098883419391829853,0.0043975373790677225
2,4,38592499269257602468716760740192887434,0.00395778364116095
2,5,113821256354655144202346364410008541559,0.007036059806508356
2,6,164442069749698163805579692825397295639,0.0030782761653474055
2,7,205212523371872082336118175976327623228,0.007036059806508356
2,8,216357840080398468200688844715351638932,0.004837291116974494
2,9,210720188672311277494776124207043515417,0.0043975373790677225
3,0,121848206096449626349118031794229989965,0.006633499170812604
3,1,90364917470298592543153127259487271872,0.007462686567164179
3,2,219667271411065859912887362399545476759,0.002902155887230514
3,3,280492228500617772288046545473918414829,0.003316749585406302
3,4,81624504755485560200192657123845734055,0.011608623548922056
3,5,190400507569879744443332065541419192696,0.005804311774461028
3,6,322950719280415623177513888614577628922,0.0037313432835820895
3,7,6943219139273639549665319852846776270,0.006633499170812604
3,8,46394452289695439635823889581353893385,0.0037313432835820895
3,9,124703776953102252302203067230530827959,0.0020729684908789387
4,0,84132991712119441457058947659316225321,0.00392156862745098
4,1,337752726848072568731928970592820678988,0.0027450980392156863
4,2,79199487793629700636479215786314632607,0.003137254901960784
4,3,147654513254765105160999637333150157901,0.0058823529411764705
4,4,291367173542186005194089385326409174600,0.003137254901960784
4,5,160224562398118605467787888550757357902,0.007058823529411765
4,6,88133656492619570081440532329074370449,0.00784313725490196
4,7,151768418750094044096775069002393534113,0.005490196078431373
4,8,277066722617950524928427645615550939472,0.004705882352941176
4,9,180564937401162140651016385218714807789,0.0035294117647058825
5,0,36256069996957209620941365770941595587,0.011160714285714286
5,1,120981782377227530209425391791875574647,0.004092261904761905
5,2,22269117093657246558514928477999900608,0.01636904761904762
5,3,85043370887738019776298942327691026512,0.0026041666666666665
5,4,166310270385976584724080832507821553692,0.002232142857142857
5,5,12470075097350710650003509399191062342,0.013020833333333334
5,6,229612616849119373824726025037828589658,0.002976190476190476
5,7,326711129438891562454944999513190721974,0.0033482142857142855
5,8,221360011419628129977183437842969115961,0.005580357142857143
5,9,306471580203285726026756912410931093359,0.009672619047619048
6,0,279672304076330707194304782115388326596,0.006723283793347488
6,1,213254724687496893023981909372348909392,0.010615711252653927
6,2,266735922170915988341982474499564654614,0.0017692852087756545
6,3,243954026951305459616302653189304671721,0.013092710544939844
6,4,175667764654735820888207535490026910048,0.01167728237791932
6,5,312447073701070985993863855331780393185,0.010615711252653927
6,6,315282504383323296186614263025509823985,0.003538570417551309
6,7,139852686792746965068012045952733055932,0.0010615711252653928
6,8,210738814584260746069956108044109012462,0.0028308563340410475
6,9,252086028672738187865955012136925508106,0.006369426751592357
7,0,151276979208156137349347838454087563561,0.011808367071524967
7,1,269027692614847271466434540436896447368,0.011133603238866396
7,2,218240174657104697872957074836674675654,0.006072874493927126
7,3,96466516588120113543957018518093016812,0.01720647773279352
7,4,243029663549199049247212585074636779593,0.002699055330634278
7,5,215442823599858860068913910541632907099,0.009784075573549258
7,6,228080582069764973757829068617967992630,0.008434547908232119
7,7,250973299534600213533050774499755105546,0.012145748987854251
7,8,125361296597281217247151716101308749715,0.0033738191632928477
7,9,263835468978185156084647394988734390407,0.0033738191632928477
8,0,113467386235200555177596534363201664765,0.007414571244358479
8,1,12631741046720219333062793494797819292,0.006769825918762089
8,2,236820316575110321013513714315789027957,0.013217279174725984
8,3,162826343243230941840785625179067547753,0.0070921985815602835
8,4,164781411073938625709380218869544124109,0.004190844616376531
8,5,42769177499847827494167389502398588257,0.003223726627981947
8,6,253669383703237360201305024339016435043,0.0029013539651837525
