sample_id,seed,Percentage of burned trees
0,68303489827999860600343675621685483134,0.006006006006006006
1,177422267338167469322545152014388689831,0.0028089887640449437
2,259924593112495280603307227929910729414,0.0013192612137203166
3,105438715881393095101103938519610128020,0.0012437810945273632
4,164333039287968953863996267737752125570,0.003137254901960784
5,60653279859863968424354245154053218125,0.006324404761904762
6,322361748594142408213188721023543975753,0.005307855626326964
7,95894108990060075637963198043222833502,0.013832658569500675
8,7689216227213693003689486730097591412,0.006769825918762089
9,277730395797935813339632086633008327071,0.003703703703703704
10,193679179626147905520037272190542695378,0.018946121965660152
11,251976935481568880863192202187434890395,0.00938566552901024
12,297303432629072514794123095565194520509,0.019704433497536946
13,59744449359554106872926841469007231621,0.015559071729957807
14,288516695550451440645972253045325960116,0.031806615776081425
15,286694262596287236055049377437387781783,0.0012291052114060963
16,57517742032836691584065810650538331884,0.03566333808844508
17,154237836139777262226802602411639399567,0.01956721915285451
18,77537122586171913266955162087962928811,0.022311468094600623
19,34226135029899153997710662702434928937,0.10108225108225108
20,249604169229765264247459413513830397733,0.08049600672551492
21,150890667026438634277168664275742426646,0.19321895424836602
22,204753334582375075882828684094784560111,0.026023043305522447
23,139412673395448071187608052543526242859,0.24632637277648878
24,93842175999064119040624871391765539221,0.13314500941619586
25,160620980750476631224302648904259920815,0.6738252569750367
26,64389187137018285013355371359753466009,0.7730039384174723
27,244183864145766426370002465420561502598,0.856219426974144
28,30602037776436457037432082181288780310,0.8961105424769703
29,33908539605417242408338573124944481826,0.9306666666666666
